"Zeitstempel","Wie oft benutzt Du elektronische Seekarten?","Wie nutzt Du elektronische Seekarten?","Welche elektronischen Seekarten sind interessant für Dich?","Was findet Ihr gut gelungen an kommerziellen Seekarten?","Was findet Ihr schlecht an kommerziellen Seekarten?","Wie oft aktualisierst Du Seekarten?","Möchtest Du die Seekarte dauerhaft ohne Einschränkungen besitzen und verwenden?","Findet ihr die Lizenzbedingungen für kommerzielle  Seekarte fair?","Findest Du den Preis für kommerzielle Seekarten für Apps angemessen?","Findest Du den Preis für kommerzielle Seekarten für Plotter angemessen?","Welche elektronische Seekarte verwendest Du?","Welche Daten sind Dir besonders wichtig in Seekarten?","Welche Funktionen sollten elektronische Seekarten können?","Was ist Dir besonders wichtig bei elektronischen Seekarten?","Möchtest Du sonst noch etwas mitteilen?"
"2025/10/31 8:06:19 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","C-Map;O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 8:09:52 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Preis","Sporadisch nach Bedarf","nein","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;O-Charts;Orca","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 8:18:38 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics);Raymarine","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 8:19:02 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Funktionalität;Regelmäßige Updates","Layout der Karten;Preis","Sporadisch nach Bedarf","ja","ja","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 8:20:53 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","3D-Kontur am Tiefenmap;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu",""
"2025/10/31 8:21:30 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Funktionalität","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist zu teuer","Ist zu teuer","Freie Seekarten;'illegale' Karten über Mobac gerippt","Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten;Ankerplätze","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 8:45:20 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card","Funktionalität","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics);Raymarine","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu",""
"2025/10/31 8:45:57 PM MEZ","Ausschließlich elektronische Seekarten","Ich benutze sie auch in Verbindung mit einem Autopiloten","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand","Regelmäßige Updates","Preis","Ein Mal im Jahr","ja","ja","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten","Ich habe keine Meinung dazu","nein"
"2025/10/31 8:48:20 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card","Layout der Karten;Funktionalität","Updatezwang;Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);O-Charts","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität",""
"2025/10/31 8:48:24 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Ist ja bei jeder Karte etwas anders ","Updatezwang;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist angemessen","Ist angemessen","O-Charts;Elektronische Seekarten des Plotterherstellers;Orca","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Alle Seezeichen und tiefen gut sichtbar",""
"2025/10/31 9:01:00 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);Freie Seekarten","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Eine klare Darstellung von Tiefen und Hindernissen ","nein"
"2025/10/31 9:08:29 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Regelmäßige Updates","Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","NV-Charts;Freie Seekarten;Orca","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 9:15:35 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Regelmäßige Updates;Herstellersupport","Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 9:20:39 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Hervorhebung von Sperrzonen","Aktualisierungsdatum, Einfachheit und klare Rückmeldung des Updatevorgangs, Längenmessfunktion","nein"
"2025/10/31 9:22:59 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","3D-Kontur am Tiefenmap;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu",""
"2025/10/31 9:23:11 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts;Freie Seekarten","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen","Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","""Wie oft aktualisierst Du Seekarten?"" So oft Ocharts mir welche anbietet, was deutlich öfter als jedes halbe Jahr ist. lg"
"2025/10/31 9:28:57 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport;Preis","Lizenzregeln","Ein Mal im Jahr","ja","ja","Ist angemessen","Ist zu teuer","Waterkaarten ","Seegebiete;Hafeninformationen;Tiefenangaben;Seezeichen;Leuchtfeuer und Lichtsignale;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur","Ich habe keine Meinung dazu","nein"
"2025/10/31 9:29:17 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Jedes halbe Jahr","ja","ja","Ist angemessen","Ist zu teuer","C-Map;Selbst erstellte oder eingescannte Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten","2D-Tiefenkontur;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","not too many depth data (Navionics), high contrast depth area's","making ""illegal"" C-map MBtiles charts for myself (SasPlanet) for AvNav with own colour schema"
"2025/10/31 9:32:50 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität","nein"
"2025/10/31 9:39:08 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand","Layout der Karten;Regelmäßige Updates;Herstellersupport","Updatezwang","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Orca","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Klares Kartenbild mit gut abgestuften Tiefen","nein"
"2025/10/31 9:52:41 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","NV-Charts","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 9:54:30 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates;Lizenzregeln","nichts","Jedes halbe Jahr","ja","ja","Ist angemessen","Könnte auch teurer sein","C-Map","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 9:56:49 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Herstellersupport","Updatezwang;Preis","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","NV-Charts;O-Charts;Freie Seekarten","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 9:58:46 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Regelmäßige Updates","Herstellersupport;Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts;Elektronische Seekarten des Plotterherstellers","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu","nein"
"2025/10/31 10:03:05 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Funktionalität","Layout der Karten","Ein Mal im Jahr","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Orca","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze"," Schnelles zoomen wie bei Orca, Anzeige und Kartenbild wie bei NV","Wichtig fände ich eine gute Anpassbarkeit über alle Geräte hinweg"
"2025/10/31 10:04:39 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ankerplätze / Tiefenangaben","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Herstellersupport;Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","C-Map;O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Ankerplätze;Gefahrenstellen","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","einfaches Handling, übersichtlich und Geräteunabhängig","nein"
"2025/10/31 10:08:46 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Wetterrouting und gribdaten Auswertung ","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann;Mir wurde eine gelegentliche Aktualisierung genügen!, elwis oder andere Quellen sollten offen einbindbar sein","Layout der Karten;Funktionalität;Abdeckung über Grenzen hinweg","Updatezwang;Herstellersupport;Preis;Lizenzregeln;Keine weiternutzung nach abo Zeitraum z.b. NV ","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;Raymarine;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen;Wind tide und strom wurde ich auch aus anderen quellen hinzuladen wollen mit geeigneter software","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Akzeptanz durch öffentliche Stellen im falle einer Überprüfung","Ich würde euer projekt unterstützen, soweit möglich "
"2025/10/31 10:13:15 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Aktualität, Nutzbarkeit auf beliebig vielen Endgeräten, Offline-Verfügbarkeit","nein"
"2025/10/31 10:28:09 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","O-Charts;Freie Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität, Detailgrad, Korrektheit","""zu teuer"" bei Seekarten App-Preis nicht auswählbar"
"2025/10/31 10:36:51 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten","Updatezwang;Preis","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Aquamap","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
